,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PA0,-,TIM2_CH1_ETR,TIM5_CH1,TIM8_ETR,-,-,-,USART2_CTS,UART4_TX,-,-,ETH_MII_CRS,-,-,-,EVENT OUT
PA1,-,TIM2_CH2,TIM5_CH2,-,-,-,-,USART2_RTS,UART4_RX,-,-,ETH_MII_RX_CLK/ETH_RMII_REF_CLK,-,-,-,EVENT OUT
PA2,-,TIM2_CH3,TIM5_CH3,TIM9_CH1,-,-,-,USART2_TX,-,-,-,ETH_MDIO,-,-,-,EVENT OUT
PA3,-,TIM2_CH4,TIM5_CH4,TIM9_CH2,-,-,-,USART2_RX,-,-,OTG_HS_ULPI_D0,ETH _MII_COL,-,-,-,EVENT OUT
PA4,-,-,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,-,-,-,-,OTG_HS_SOF,DCMI_HSYNC,-,EVENT OUT
PA5,-,TIM2_CH1_ETR,-,TIM8_CH1N,-,SPI1_SCK,-,-,-,-,OTG_HS_ULPI_CK,-,-,-,-,EVENT OUT
PA6,-,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,-,SPI1_MISO,-,-,-,TIM13_CH1,-,-,-,DCMI_PIXCK,-,EVENT OUT
PA7,-,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,-,SPI1_MOSI,-,-,-,TIM14_CH1,-,ETH_MII _RX_DV/ETH_RMII_CRS_DV,-,-,-,EVENT OUT
PA8,MCO_1,TIM1_CH1,-,-,I2C3_SCL,-,-,USART1_CK,-,-,OTG_FS_SOF,-,-,-,-,EVENT OUT
PA9,-,TIM1_CH2,-,-,I2C3_SMBA,-,-,USART1_TX,-,-,-,-,-,DCMI_D0,-,EVENT OUT
PA10,-,TIM1_CH3,-,-,-,-,-,USART1_RX,-,-,OTG_FS_ID,-,-,DCMI_D1,-,EVENT OUT
PA11,-,TIM1_CH4,-,-,-,-,-,USART1_CTS,-,CAN1_RX,OTG_FS_DM,-,-,-,-,EVENT OUT
PA12,-,TIM1_ETR,-,-,-,-,-,USART1_RTS,-,CAN1_TX,OTG_FS_DP,-,-,-,-,EVENT OUT
PA13,JTMS_SWDIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PA14,JTCK_SWCLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PA15,JTDI,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,-,-,-,-,-,-,-,-,EVENT OUT
PB0,-,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,-,-,-,-,-,-,OTG_HS_ULPI_D1,ETH _MII_RXD2,-,-,-,EVENT OUT
PB1,-,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,-,-,-,-,-,-,OTG_HS_ULPI_D2,ETH _MII_RXD3,-,-,-,EVENT OUT
PB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PB3,JTDO-SWO,TIM2_CH2,-,-,-,SPI1_SCK,SPI3_SCK/I2S3_SCK,-,-,-,-,-,-,-,-,EVENT OUT
PB4,JTRST,-,TIM3_CH1,-,-,SPI1_MISO,SPI3_MISO,-,-,-,-,-,-,-,-,EVENT OUT
PB5,-,-,TIM3_CH2,-,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,-,-,CAN2_RX,OTG_HS_ULPI_D7,ETH _PPS_OUT,-,DCMI_D10,-,EVENT OUT
PB6,-,-,TIM4_CH1,-,I2C1_SCL,-,-,USART1_TX,-,CAN2_TX,-,-,-,DCMI_D5,-,EVENT OUT
PB7,-,-,TIM4_CH2,-,I2C1_SDA,-,-,USART1_RX,-,-,-,-,FSMC_NL,DCMI_VSYNC,-,EVENT OUT
PB8,-,-,TIM4_CH3,TIM10_CH1,I2C1_SCL,-,-,-,-,CAN1_RX,-,ETH _MII_TXD3,SDIO_D4,DCMI_D6,-,EVENT OUT
PB9,-,-,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,-,-,-,CAN1_TX,-,-,SDIO_D5,DCMI_D7,-,EVENT OUT
PB10,-,TIM2_CH3,-,-,I2C2_SCL,SPI2_SCK/I2S2_SCK,-,USART3_TX,-,-,OTG_HS_ULPI_D3,ETH_ MII_RX_ER,-,-,-,EVENT OUT
PB11,-,TIM2_CH4,-,-,I2C2_SDA,-,-,USART3_RX,-,-,OTG_HS_ULPI_D4,ETH _MII_TX_EN/ETH_RMII_TX_EN,-,-,-,EVENT OUT
PB12,-,TIM1_BKIN,-,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,-,USART3_CK,-,CAN2_RX,OTG_HS_ULPI_D5,ETH _MII_TXD0/ETH _RMII_TXD0,OTG_HS_ID,-,-,EVENT OUT
PB13,-,TIM1_CH1N,-,-,-,SPI2_SCK/I2S2_SCK,-,USART3_CTS,-,CAN2_TX,OTG_HS_ULPI_D6,ETH _MII_TXD1/ETH _RMII_TXD1,-,-,-,EVENT OUT
PB14,-,TIM1_CH2N,-,TIM8_CH2N,-,SPI2_MISO,-,USART3_RTS,-,TIM12_CH1,-,-,OTG_HS_DM,-,-,EVENT OUT
PB15,RTC_50Hz,TIM1_CH3N,-,TIM8_CH3N,-,SPI2_MOSI/I2S2_SD,-,-,-,TIM12_CH2,-,-,OTG_HS_DP,-,-,EVENT OUT
PC0,-,-,-,-,-,-,-,-,-,-,OTG_HS_ULPI_STP,-,-,-,-,EVENT OUT
PC1,-,-,-,-,-,-,-,-,-,-,-,ETH_MDC,-,-,-,EVENT OUT
PC2,-,-,-,-,-,SPI2_MISO,-,-,-,-,OTG_HS_ULPI_DIR,ETH _MII_TXD2,-,-,-,EVENT OUT
PC3,-,-,-,-,-,SPI2_MOSI,-,-,-,-,OTG_HS_ULPI_NXT,ETH_MII_TX_CLK,-,-,-,EVENT OUT
PC4,-,-,-,-,-,-,-,-,-,-,-,ETH_MII_RXD0/ETH_RMII_RXD0,-,-,-,EVENT OUT
PC5,-,-,-,-,-,-,-,-,-,-,-,ETH_MII_RXD1/ETH_RMII_RXD1,-,-,-,EVENT OUT
PC6,-,-,TIM3_CH1,TIM8_CH1,-,I2S2_MCK,-,-,USART6_TX,-,-,-,SDIO_D6,DCMI_D0,-,EVENT OUT
